P_ID;Date;PURQ1;PURQ2_R;PURQ3;PURQ4_R;BELQ1;BELQ2_R;BELQ3_R;BELQ4;BELQ5;BELQ6;COLQ1;COLQ2_R;COLQ3;COLQ4;COLQ5;GROWQ1;GROWQ2;GROWQ3;GROWQ4_R;GROWQ5;GROWQ6;ENGCQ1;ENGCQ2;ENGCQ3;ENGSQ1;ENGSQ2;ENGSQ3;ENGAQ1;ENGAQ2;ENGAQ3;ENGIDQ1;ENGIDQ2;ENGIDQ3;ENGIDQ4;PERFQ1;PERFQ2;PERFQ3;PERFQ4_R;PERFQ5;PERFQ6;PERFQ7;PERFQ8;PERFQ9;PERFQ10;PERFQ11_R;PERFQ12;PERFQ13;PERFQ14_R;PERFQ15_R;PERFQ16_R;PERFQ17_R;PERFQ18_R;RETQ1_R;RETQ2_R;RETQ3_R;Gender;Age;WFH_past_3_months;Position;Education;Income;WFH;int_mean;soc_mean;aff_mean
66;08.05.2021;5;5;5;5;4;4;1;4;5;3;3;5;4;5;5;5;4;5;5;1;1;5;5;5;3;3;5;5;5;5;4;5;5;5;1;5;5;3;4;5;5;5;5;4;5;5;5;4;5;5;1;1;3;5;5;Female;41 - 50 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;5;3.66666666666667;5
67;09.05.2021;3;4;4;4;4;3;4;3;3;3;3;4;3;2;3;3;3;3;4;2;2;4;4;4;3;3;3;3;3;3;3;3;4;4;4;4;4;4;3;4;3;4;4;3;4;4;3;3;3;3;3;4;4;4;3;Female;31 - 40 years;Not at all (I can't work from home);Employee;Master Degree  (e.g. MA, MSc, MBA);NA;Fulltime;4;3;3
68;10.05.2021;5;5;4;5;5;5;5;5;5;5;5;4;5;4;5;4;3;4;4;4;4;5;5;5;5;4;5;4;4;5;5;5;5;4;5;5;5;4;5;5;5;5;4;5;4;5;5;2;5;3;1;1;3;2;5;Male;21 - 30 years;3 days a week;Director;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Hybrid;5;4.66666666666667;4.33333333333333
69;10.05.2021;2;2;1;2;1;1;2;2;1;2;1;2;1;2;4;1;1;1;2;1;1;2;4;4;2;2;2;2;2;2;1;1;1;1;4;4;1;4;2;5;5;5;5;5;5;5;5;5;4;5;5;5;1;1;1;Female;41 - 50 years;Every day ( 5 days a week or more);Vice President;Doctoral Degree (e.g. Ph.D., Dr.);$100.001 - $150.000 a year;WFH;3.33333333333333;2;2
70;10.05.2021;4;3;4;4;4;5;3;4;5;5;4;5;5;4;5;4;2;4;5;3;3;5;5;5;4;2;4;4;4;4;3;4;4;5;3;4;4;5;4;5;5;5;5;4;5;5;5;4;3;3;2;2;5;4;5;Female;21 - 30 years;2 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;Hybrid;5;3.33333333333333;4
71;10.05.2021;5;5;4;5;5;5;4;4;5;3;4;4;4;4;4;5;4;4;4;5;4;5;5;5;4;4;5;5;5;5;3;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;4;4;3;2;5;Female;31 - 40 years;4 days a week;People Manager;Master Degree  (e.g. MA, MSc, MBA);Less than $25.000 a year;Hybrid;5;4.33333333333333;5
72;10.05.2021;5;5;5;4;4;3;3;3;3;2;3;5;3;4;4;1;1;1;3;1;1;5;5;5;3;5;5;3;3;3;5;3;5;5;3;5;5;5;3;5;5;5;5;5;1;5;5;5;5;5;1;1;2;1;5;Male;41 - 50 years;Every day ( 5 days a week or more);People Manager;Master Degree  (e.g. MA, MSc, MBA);$25.001 - $50.000 a year;WFH;5;4.33333333333333;3
73;11.05.2021;5;5;4;5;5;5;5;5;4;5;4;4;4;5;4;5;4;4;5;4;4;5;5;5;4;2;2;5;4;4;5;5;5;5;4;4;5;4;5;4;4;5;5;4;4;5;3;3;5;5;3;5;4;5;5;Male;41 - 50 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;WFH;5;2.66666666666667;4.33333333333333
74;11.05.2021;3;2;5;1;4;3;1;3;5;2;3;5;3;5;4;1;3;1;1;2;1;4;5;5;3;3;3;3;3;5;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;3;1;3;Female;31 - 40 years;3 days a week;Director;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;Hybrid;4.66666666666667;3;3.66666666666667
75;11.05.2021;4;2;5;5;4;4;3;4;5;5;5;5;5;4;5;4;5;4;5;1;2;4;5;4;5;5;5;5;5;5;4;4;4;4;5;5;5;4;4;5;5;4;4;4;5;4;5;3;5;4;4;4;5;2;5;Female;21 - 30 years;Every day ( 5 days a week or more);People Manager;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$25.001 - $50.000 a year;WFH;4.33333333333333;5;5
76;11.05.2021;4;4;3;2;4;3;5;3;3;2;3;4;1;3;2;1;1;1;2;4;4;3;4;4;2;2;2;2;2;2;2;2;4;4;4;4;4;2;3;1;4;5;5;3;2;4;4;2;4;3;2;2;1;1;4;Male;31 - 40 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);NA;WFH;3.66666666666667;2;2
77;11.05.2021;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;1;1;5;Female;21 - 30 years;Not at all (I can't work from home);People Manager;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;Fulltime;5;4.66666666666667;5
78;11.05.2021;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;4;4;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;Male;31 - 40 years;Every day ( 5 days a week or more);Independent Contractor (self-employed);Other;Less than $25.000 a year;WFH;5;5;5
79;11.05.2021;4;5;5;5;3;3;2;2;5;5;2;3;3;3;3;2;3;4;3;4;2;5;4;4;5;5;5;5;5;5;5;4;4;3;4;4;5;4;2;1;4;5;5;5;4;5;4;2;2;4;5;4;3;3;5;Male;31 - 40 years;Not at all (I can't work from home);Employee;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Fulltime;4.33333333333333;5;5
80;11.05.2021;1;3;1;3;1;5;3;1;1;1;1;3;1;3;1;1;1;1;1;1;1;4;4;4;1;1;1;3;3;3;1;1;2;3;3;3;3;2;2;3;4;3;4;3;5;4;4;5;5;5;5;5;1;1;1;Female;31 - 40 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;Fulltime;4;1;3
81;12.05.2021;4;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;4;5;3;4;5;4;3;3;4;3;5;Male;31 - 40 years;Every day ( 5 days a week or more);People Manager;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;4.66666666666667;4.33333333333333;5
82;12.05.2021;4;5;4;5;4;5;5;3;4;5;4;4;3;3;4;5;5;3;4;4;3;5;5;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;3;4;2;2;3;4;3;4;Male;21 - 30 years;Not at all (I can't work from home);Director;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Fulltime;5;4;4
83;12.05.2021;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;1;1;5;Female;21 - 30 years;Not at all (I can't work from home);People Manager;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;Fulltime;5;4.66666666666667;5
84;13.05.2021;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;1;1;5;Female;21 - 30 years;Not at all (I can't work from home);People Manager;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;Fulltime;5;4.66666666666667;5
85;13.05.2021;5;5;4;5;5;5;5;5;5;5;5;4;5;4;5;4;3;4;4;4;4;5;5;5;5;4;5;4;4;5;5;5;5;4;5;5;5;4;5;5;5;5;4;5;4;5;5;2;5;3;1;1;3;2;5;Male;21 - 30 years;3 days a week;Director;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Hybrid;5;4.66666666666667;4.33333333333333
86;13.05.2021;5;5;4;5;5;5;5;5;5;5;5;4;5;4;5;4;3;4;4;4;4;5;5;5;5;4;5;4;4;5;5;5;5;4;5;5;5;4;5;5;5;5;4;5;4;5;5;2;5;3;1;1;3;2;5;Male;21 - 30 years;3 days a week;Director;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Hybrid;5;4.66666666666667;4.33333333333333
87;13.05.2021;2;2;4;1;4;2;1;2;2;2;2;3;4;4;3;2;1;2;4;1;2;4;4;4;3;2;3;4;2;2;2;2;4;5;4;5;5;4;4;5;5;4;5;5;5;4;4;4;5;5;2;2;1;2;4;Female;31 - 40 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$25.001 - $50.000 a year;Fulltime;4;2.66666666666667;2.66666666666667
88;13.05.2021;4;5;4;3;5;5;4;4;5;5;5;4;4;4;5;4;4;4;4;3;4;5;5;4;4;4;4;4;4;4;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;4;3;3;5;5;4;5;4;4;5;Female;31 - 40 years;4 days a week;Employee;Other;Less than $25.000 a year;Hybrid;4.66666666666667;4;4
89;13.05.2021;5;5;4;5;5;5;5;5;5;5;5;4;5;4;5;4;3;4;4;4;4;5;5;5;5;4;5;4;4;5;5;5;5;4;5;5;5;4;5;5;5;5;4;5;4;5;5;2;5;3;1;1;3;2;5;Male;21 - 30 years;3 days a week;Director;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Hybrid;5;4.66666666666667;4.33333333333333
90;17.05.2021;3;4;4;5;4;4;5;4;4;3;3;3;2;2;4;3;2;2;5;4;3;4;4;4;3;3;1;4;5;3;3;4;3;5;4;4;4;4;4;1;4;5;5;4;4;4;5;5;5;5;4;5;3;2;5;Male;21 - 30 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;4;2.33333333333333;4
91;19.05.2021;4;5;4;5;5;5;2;4;4;4;5;5;4;4;5;4;4;4;5;5;5;5;5;5;2;2;2;4;4;4;4;4;4;5;4;4;4;3;4;5;5;5;5;5;5;5;5;4;5;4;3;3;4;4;5;Male;41 - 50 years;2 days a week;Director;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;Hybrid;5;2;4
92;23.05.2021;5;5;4;5;5;5;5;5;4;5;4;4;4;5;4;5;4;4;5;4;4;5;5;5;4;2;2;5;4;4;5;5;5;5;4;4;5;4;5;4;4;5;5;4;4;5;3;3;5;5;3;5;4;5;5;Male;41 - 50 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;WFH;5;2.66666666666667;4.33333333333333
93;25.05.2021;5;5;5;5;4;5;5;5;4;4;4;4;4;4;4;3;3;4;5;3;3;4;4;4;3;2;2;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;4;5;4;4;3;5;3;2;2;4;5;5;Female;31 - 40 years;3 days a week;Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;Hybrid;4;2.33333333333333;4
94;27.06.2021;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;1;5;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);Less than $25.000 a year;WFH;5;4.66666666666667;5
95;27.06.2021;5;3;4;4;4;4;4;4;5;5;5;5;5;4;4;4;3;4;5;3;4;4;4;4;4;4;3;5;5;5;4;4;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;5;5;4;5;5;5;4;5;Male;21 - 30 years;3 days a week;Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);$25.001 - $50.000 a year;Hybrid;4;3.66666666666667;5
96;27.06.2021;3;5;5;5;5;5;1;5;5;5;5;5;5;4;4;5;4;5;5;4;4;5;5;5;4;4;3;5;5;5;4;4;5;5;5;5;5;1;4;4;5;4;5;5;5;5;5;3;5;5;4;5;5;3;5;Male;51 - 60 years;Every day ( 5 days a week or more);CEO & President;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;WFH;5;3.66666666666667;5
97;27.06.2021;3;5;2;1;2;2;2;2;1;1;4;3;3;2;2;1;1;1;1;4;3;4;4;4;3;3;3;1;1;1;1;1;2;1;2;4;4;3;5;5;5;4;4;4;5;5;3;3;4;3;2;1;1;1;1;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$25.001 - $50.000 a year;WFH;4;3;1
98;27.06.2021;1;5;1;1;5;5;4;1;1;1;3;5;3;4;1;2;1;1;1;1;4;3;4;4;2;4;3;3;3;2;1;1;1;1;5;5;5;4;5;3;3;5;5;4;2;1;1;2;5;1;1;1;1;1;1;Female;31 - 40 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$25.001 - $50.000 a year;Fulltime;3.66666666666667;3;2.66666666666667
99;27.06.2021;4;3;4;4;3;3;4;3;3;3;4;4;4;4;4;5;4;4;4;5;3;5;5;5;5;5;5;4;4;4;4;3;4;5;5;5;4;4;3;4;3;4;4;4;4;3;3;3;4;5;4;5;5;4;4;Female;21 - 30 years;4 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;Hybrid;5;5;4
100;27.06.2021;4;4;2;2;4;3;5;4;4;4;3;3;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;2;4;4;4;4;4;4;2;4;4;2;2;2;2;2;2;2;2;Female;21 - 30 years;2 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);Less than $25.000 a year;Hybrid;3.66666666666667;4;4
101;27.06.2021;3;5;4;4;5;4;4;3;4;3;4;4;4;4;4;2;2;3;2;3;3;4;4;4;3;4;3;4;4;4;3;4;4;5;5;5;4;4;4;4;3;3;4;3;4;3;3;2;4;4;2;1;2;1;4;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$25.001 - $50.000 a year;WFH;4;3.33333333333333;4
102;27.06.2021;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Female;31 - 40 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;5;5;5
103;27.06.2021;4;5;4;4;4;5;5;4;4;3;5;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;3;3;3;3;5;4;5;5;5;3;5;4;4;4;4;4;5;4;4;2;5;5;3;1;3;5;5;Female;31 - 40 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$100.001 - $150.000 a year;WFH;4;3.66666666666667;3.33333333333333
104;27.06.2021;4;2;5;4;4;4;4;4;5;4;4;3;4;4;4;4;4;4;5;4;3;5;5;5;4;4;4;5;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;2;4;4;4;3;3;2;2;3;2;4;Male;21 - 30 years;4 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);Less than $25.000 a year;Hybrid;5;4;4.33333333333333
105;27.06.2021;4;4;4;4;5;5;5;5;3;4;5;4;4;4;4;4;4;5;4;5;4;5;5;5;5;4;4;5;5;4;3;4;4;4;5;5;5;2;5;5;4;4;4;4;5;4;4;4;5;5;4;4;5;5;5;Male;21 - 30 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);Less than $25.000 a year;WFH;5;4.33333333333333;4.66666666666667
106;27.06.2021;4;5;5;4;4;4;5;5;5;4;5;5;4;4;5;5;5;3;5;3;3;5;5;5;3;4;3;5;5;5;5;5;4;5;4;4;5;4;4;5;5;5;5;5;5;2;5;2;3;4;4;2;3;4;4;Male;21 - 30 years;Every day ( 5 days a week or more);CEO & President;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;WFH;5;3.33333333333333;5
107;27.06.2021;5;5;5;2;5;4;3;3;4;5;4;5;4;4;5;5;4;4;5;4;3;4;4;4;4;3;4;4;4;5;4;4;5;5;5;4;4;4;4;5;4;4;4;4;4;4;5;2;5;5;4;3;5;5;5;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$100.001 - $150.000 a year;WFH;4;3.66666666666667;4.33333333333333
108;27.06.2021;3;3;2;2;2;2;3;2;2;1;3;1;1;2;2;3;2;2;3;3;2;4;4;4;1;1;1;2;2;3;2;3;1;3;4;3;1;3;2;1;2;2;2;4;4;5;3;5;5;2;3;2;1;3;3;Female;21 - 30 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);Less than $25.000 a year;Fulltime;4;1;2.33333333333333
109;27.06.2021;2;2;3;5;4;4;5;3;5;5;3;3;3;3;3;1;1;1;2;4;4;4;4;3;1;3;3;1;3;3;1;1;1;1;4;4;3;4;2;4;4;4;4;3;5;2;5;2;4;3;2;1;1;1;1;Female;21 - 30 years;2 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);Less than $25.000 a year;Hybrid;3.66666666666667;2.33333333333333;2.33333333333333
110;27.06.2021;4;2;4;4;4;2;5;5;5;5;5;5;5;5;5;5;5;5;2;5;2;5;5;5;5;5;5;4;3;4;4;4;4;4;5;5;5;4;5;5;5;5;5;5;4;5;5;2;4;5;3;5;5;1;5;Female;31 - 40 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$25.001 - $50.000 a year;WFH;5;5;3.66666666666667
111;27.06.2021;4;4;4;4;5;4;4;3;2;3;4;4;4;3;4;4;3;3;2;4;2;5;4;4;2;3;3;4;4;4;4;4;3;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;2;4;2;2;3;4;3;Female;31 - 40 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;4.33333333333333;2.66666666666667;4
112;27.06.2021;4;4;3;4;4;5;5;4;5;5;3;5;3;4;5;2;3;5;3;4;3;4;4;4;3;3;2;4;4;4;4;4;4;4;4;4;5;4;4;4;4;2;2;5;3;4;5;2;5;3;2;2;4;4;5;Male;31 - 40 years;Every day ( 5 days a week or more);People Manager;Other;$100.001 - $150.000 a year;WFH;4;2.66666666666667;4
113;27.06.2021;3;4;2;2;2;2;2;2;2;3;1;2;1;1;1;1;1;1;1;2;1;3;3;3;1;1;1;3;1;2;1;1;2;2;4;4;3;2;3;4;5;5;5;5;5;5;5;4;4;4;4;2;3;2;2;Male;31 - 40 years;Every day ( 5 days a week or more);Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;WFH;3;1;2
114;27.06.2021;2;3;3;2;3;1;5;2;5;3;4;5;5;5;4;3;1;3;4;3;2;5;5;5;3;3;3;5;5;5;4;3;3;3;5;5;5;5;5;5;5;5;5;5;4;4;5;4;5;3;5;2;3;1;3;Male;21 - 30 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);Less than $25.000 a year;WFH;5;3;5
115;27.06.2021;3;2;5;4;5;5;2;4;4;3;3;4;4;4;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;2;4;3;2;2;4;3;4;Female;21 - 30 years;3 days a week;Independent Contractor (self-employed);Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);NA;Hybrid;4;4;4
116;27.06.2021;5;5;2;4;4;3;5;4;5;5;5;4;4;4;4;4;5;5;5;4;3;4;4;4;5;4;4;4;4;4;4;4;5;5;4;4;4;4;4;5;5;4;4;5;4;4;4;3;5;4;2;4;5;5;5;Female;41 - 50 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);NA;WFH;4;4.33333333333333;4
117;27.06.2021;5;4;3;4;4;4;4;4;4;3;4;4;5;3;5;3;3;4;4;4;3;4;5;5;4;4;3;4;3;4;4;4;5;4;4;5;4;4;4;3;4;3;4;4;3;2;5;4;5;4;4;4;3;2;5;Male;21 - 30 years;Every day ( 5 days a week or more);People Manager;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;WFH;4.66666666666667;3.66666666666667;3.66666666666667
118;27.06.2021;4;5;4;5;4;5;4;4;5;4;4;5;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;5;4;4;5;5;4;5;4;5;4;5;4;4;4;4;5;4;4;5;5;4;4;4;5;5;5;Female;21 - 30 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;Fulltime;4;4;4.33333333333333
119;27.06.2021;3;4;4;5;4;4;3;4;4;4;3;4;4;4;4;5;3;5;1;5;3;4;4;4;3;2;4;4;4;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);Less than $25.000 a year;WFH;4;3;4
120;27.06.2021;2;3;4;5;3;3;3;3;3;3;3;4;3;3;2;3;3;3;3;3;1;4;4;4;4;4;4;4;2;2;3;2;2;4;4;3;2;4;3;4;4;3;4;3;5;4;3;2;2;3;3;3;3;1;3;Male;21 - 30 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);Less than $25.000 a year;Fulltime;4;4;2.66666666666667
121;27.06.2021;4;5;4;4;5;4;5;5;5;5;5;5;5;5;4;4;5;4;5;4;4;4;4;4;4;4;4;4;3;3;3;4;5;5;4;4;5;4;4;5;5;4;3;3;5;4;4;4;4;3;2;3;1;1;5;Male;41 - 50 years;4 days a week;Vice President;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;Hybrid;4;4;3.33333333333333
122;27.06.2021;4;4;4;5;5;5;5;5;4;4;4;5;5;3;4;5;4;5;2;4;2;4;4;4;3;3;3;4;4;4;2;4;3;4;5;5;5;5;5;4;5;4;5;5;1;4;5;5;5;5;4;3;4;1;4;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;WFH;4;3;4
123;27.06.2021;4;5;4;5;4;5;2;5;3;3;4;5;3;3;3;4;4;5;4;4;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;3;4;5;5;5;5;5;5;3;3;4;3;5;5;5;5;Female;31 - 40 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;5;4;4
124;27.06.2021;2;3;3;2;3;3;4;2;4;4;1;1;1;1;1;1;1;1;1;5;1;5;5;5;3;5;3;2;2;1;1;1;1;3;4;5;5;4;3;5;4;5;5;5;4;3;4;1;3;2;2;1;1;1;1;Male;31 - 40 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;5;3.66666666666667;1.66666666666667
125;27.06.2021;5;4;4;5;5;5;4;4;4;5;4;4;3;4;4;2;2;2;2;2;1;4;4;4;4;4;3;3;3;2;4;3;4;4;4;4;4;4;4;4;4;5;4;4;5;3;4;4;5;5;3;3;2;2;5;Male;41 - 50 years;3 days a week;People Manager;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$100.001 - $150.000 a year;Hybrid;4;3.66666666666667;2.66666666666667
126;27.06.2021;3;5;5;5;3;2;4;3;3;3;3;4;3;4;3;4;4;2;5;1;1;5;5;5;4;3;3;4;5;5;4;5;3;5;4;5;5;4;5;5;5;5;5;5;5;1;5;4;4;3;5;5;1;1;3;Male;31 - 40 years;3 days a week;People Manager;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;Hybrid;5;3.33333333333333;4.66666666666667
127;27.06.2021;4;4;3;4;3;5;5;3;4;2;4;5;3;3;3;2;2;3;3;3;3;5;4;5;4;3;4;4;3;3;2;2;4;4;4;4;4;5;4;2;3;3;3;1;1;2;1;5;5;5;5;3;5;2;5;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);Less than $25.000 a year;WFH;4.66666666666667;3.66666666666667;3.33333333333333
128;27.06.2021;5;4;4;4;4;4;4;4;3;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;3;4;4;2;4;4;4;4;4;3;4;4;4;4;3;4;3;4;3;3;3;3;3;3;4;Female;21 - 30 years;4 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);Less than $25.000 a year;Hybrid;4;3;4
129;27.06.2021;5;1;5;1;5;5;5;5;5;5;5;3;3;5;5;3;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;1;5;5;1;1;1;3;3;3;3;3;Female;21 - 30 years;3 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);$25.001 - $50.000 a year;Hybrid;5;5;5
130;27.06.2021;3;5;4;4;4;3;3;3;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;4;3;4;3;4;3;4;3;4;4;4;4;5;4;4;3;4;3;4;3;4;4;4;4;3;4;5;4;3;3;3;5;Male;41 - 50 years;3 days a week;People Manager;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;Hybrid;3.66666666666667;3.33333333333333;3.66666666666667
131;27.06.2021;4;3;3;4;3;3;4;3;4;3;5;5;3;5;5;3;1;1;4;2;1;5;5;5;2;2;2;4;4;4;3;1;2;5;5;5;3;2;4;5;5;5;5;4;5;4;3;5;5;3;4;3;1;1;1;Female;31 - 40 years;1 day a week;Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$75.001 - $100.000 a year;Hybrid;5;2;4
132;27.06.2021;5;4;5;4;4;4;5;5;5;4;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;3;3;3;3;3;3;Female;21 - 30 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$25.001 - $50.000 a year;Fulltime;5;5;5
